id,collocation,label,synonym,source,sentence_with_gap,sentence_filled
3026,тянуть лямку,1,работать,dict,"Несмотря на усталость, он продолжал [MASK], чтобы прокормить семью.","Несмотря на усталость, он продолжал тянуть лямку, чтобы прокормить семью."
3027,убаюкивать дитя,0,-,nat_corpus,,
3028,убаюкивать обещаниями,1,обещать,dict,"Он только [MASK] меня, словно пытался усыпить ими, но по факту ничего не делал.","Он только убаюкивал обещаниями меня, словно пытался усыпить ими, но по факту ничего не делал."
3029,убаюкивать ребенка,0,-,nat_corpus,,
3030,убаюкивать совесть,1,успокаивать,nat_corpus,"Он пытался [MASK], убеждая себя, что поступил правильно и ни в чем не виноват.","Он пытался убаюкивать совесть, убеждая себя, что поступил правильно и ни в чем не виноват."
3031,ударяться в бега,1,убегать,nat_corpus,"Испугавшись последствий, он решился [MASK] и отправиться в другую страну, надеясь скрыться.","Испугавшись последствий, он решился удариться в бега и отправиться в другую страну, надеясь скрыться."
3032,ударяться в воспоминания,1,вспомнить,dict,"В такие вечера она любила оставаться одна и [MASK], которые пробуждала, перебирая фотографии.","В такие вечера она любила оставаться одна и ударяться в воспоминания,  которые пробуждала, перебирая фотографии."
3033,ударяться в крайности,1,перегибать,nat_corpus,"Он не умеет жить гармонично и сохранять баланс между разными своими порывами и желаниями, поэтому чато [MASK], которые очень мешают конструктивной жизни.","Он не умеет жить гармонично и сохранять баланс между разными своими порывами и желаниями, поэтому чато ударяется в крайности, которые очень мешают конструктивной жизни."
3034,ударяться в панику,1,паниковать,nat_corpus,"Стоило только услышать тревожную новость, как она сразу [MASK] и начала поднимать всех на уши.","Стоило только услышать тревожную новость, как она сразу ударилась в панику и начала поднимать всех на уши."
3035,ударяться о дверь,0,-,GPT-4o,,
3036,ударяться о землю,0,-,GPT-4o,,
3037,ударяться о стену,0,-,GPT-4o,,
3038,ударяться об утес,0,-,GPT-4o,,
3039,уделять внимание,1,замечать,dict,"Руководитель умел [MASK] даже мелочам, что и отличало его от других.","Руководитель умел уделять внимание даже мелочам, что и отличало его от других."
3040,уделять время,1,заниматься,dict,"Несмотря на загруженность, он старался [MASK] семье хотя бы вечером.","Несмотря на загруженность, он старался уделять время семье хотя бы вечером."
3041,уделять место,1,расположить,dict,На страницах книги автор решил [MASK] вопросам эстетики.,На страницах книги автор решил уделить место вопросам эстетики.
3042,уделять ресурсы,0,-,nat_corpus,,
3043,уделять силы,0,-,nat_corpus,,
3044,удерживать в памяти,1,помнить,dict,Самые яркие моменты жизни он умел [MASK] даже спустя годы.,Самые яркие моменты жизни он умел удерживать в памяти даже спустя годы.
3045,удерживать заложников,0,-,nat_corpus,,
3046,удерживать лидерство,1,лидировать,nat_corpus,"Команда сумела [MASK], несмотря на сильную конкуренцию.","Команда сумела удержать лидерство, несмотря на сильную конкуренцию."
3047,удерживать позиции,0,-,nat_corpus,,
3048,удерживаться на плаву,1,выживать,nat_corpus,"Проблемы, заботы и тревоги так одолели меня, что [MASK] и продолжать нормальную жизнь было трудно, но я старался.","Проблемы, заботы и тревоги так одолели меня, что удерживаться на плаву и продолжать нормальную жизнь было трудно, но я старался."
3049,удерживаться на поверхности,0,-,nat_corpus,,
3050,удерживаться от слез,0,-,nat_corpus,,
3051,удерживаться от смеха,0,-,nat_corpus,,
3052,удерживаться от соблазна,1,воздерживаться,nat_corpus,"Он с трудом [MASK] съесть весь торт сразу, но все-таки преодолел это желание.","Он с трудом удерживался от соблазна съесть весь торт сразу, но все-таки преодолел это желание."
3053,удерживаться у власти,1,властвовать,dict,"Несмотря на волнения в стране, правительство продолжало [MASK] и не терять своих позиций.","Несмотря на волнения в стране, правительство продолжало удерживаться у власти и не терять своих позиций."
3054,удовлетворять корыстолюбию,0,-,nat_corpus,,
3055,удовлетворять любопытство,1,узнавать,dict,"Он очень любознательный в плане географии и всегда [MASK] в этом предмете, покупая карты и справочники.","Он очень любознательный в плане географии и всегда удовлетворяет свое любопыство в этом предмете, покупая карты и справочники."
3056,удостаивать беседой,0,-,nat_corpus,,
3057,удостаивать вниманием,1,замечать,dict,Простое замечание от него уже считалось успехом — не каждого он готов был [MASK] и как-то отметить.,Простое замечание от него уже считалось успехом — не каждого он готов был удостоить вниманем и как-то отметить.
3058,удостаивать наградой,1,награждать,dict,За вклад в науку комиссия решила [MASK] учёного в виде большой премии.,За вклад в науку комиссия решила удостоить наградой учёного в виде большой премии.
3059,удостаивать ответом,1,отвечать,dict,"Он не удосужился [MASK] ее вопрос, хотя он был вполне конкретным.","Он не удосужился удостоить ответом ее вопрос, хотя он был вполне конкретным."
3060,удостаивать посещением,0,-,nat_corpus,,
3061,удостаивать премии,1,награждать,dict,"После церемонии стало известно, что актрису решили [MASK] за эту роль и вручить ей золотую статуэтку.","После церемонии стало известно, что актрису решили удостоить премии за эту роль и вручить ей золотую статуэтку."
3062,удостаивать улыбкой,0,-,nat_corpus,,
3063,удостаивать упоминания,0,-,nat_corpus,,
3064,укладываться в постель,0,-,nat_corpus,,
3065,укладываться в прокрустово ложе,0,-,nat_corpus,,
3066,укладываться в рамки,1,успевать,nat_corpus,"[MASK] проекта в плане времени всегда сложно, но мы стараемся делать все как можно быстрее.","Укладываться в рамки проекта в плане времени всегда сложно, но мы стараемся делать все как можно быстрее."
3067,укладываться в срок,1,успевать,dict,"Несмотря на сложности, подрядчику удалось [MASK] без дополнительного времени на заказ.","Несмотря на сложности, подрядчику удалось уложиться в срок без дополнительного времени на заказ."
3068,укладываться во время,1,успеть,dict,Благодаря слаженной работе команда смогла [MASK] на всех этапах.,Благодаря слаженной работе команда смогла уложиться во время на всех этапах.
3069,уклоняться от мобилизации,0,-,nat_corpus,,
3070,уклоняться от общения,0,-,nat_corpus,,
3071,уклоняться от ответа,1,умалчивать,dict,"На прямой вопрос журналиста министр предпочёл [MASK], сославшись на недостаток информации.","На прямой вопрос журналиста министр предпочёл уклониться от ответа, сославшись на недостаток информации."
3072,уклоняться от ответственности,1,уклоняться,dict,"Вместо того чтобы признать ошибку, он снова попытался [MASK] и переложить ее на коллег.","Вместо того чтобы признать ошибку, он снова попытался уклониться от ответственности и переложить ее на коллег."
3073,укреплять безопасность,1,обезопасить,dict,Для защиты границ страна начала активно [MASK] и оборону с помощью новых технологий.,Для защиты границ страна начала активно укреплять безопасность и оборону с помощью новых технологий.
3074,укреплять дисциплину,1,дисциплинировать,dict,"После беспорядков руководство решило срочно [MASK] во всех подразделениях, введя новые правила и взыскания.","После беспорядков руководство решило срочно укрепить дисциплину во всех подразделениях, введя новые правила и взыскания."
3075,укреплять дружбу,1,сдружиться,dict,Совместный поход в горы помог ребятам [MASK] и научиться доверять друг другу.,Совместный поход в горы помог ребятам укрепить дружбу и научиться доверять друг другу.
3076,укреплять душу,0,-,nat_corpus,,
3077,укреплять желудок,0,-,nat_corpus,,
3078,укреплять здоровье,1,здороветь,dict,"После болезни он стал регулярно заниматься спортом, чтобы [MASK] и иммунитет.","После болезни он стал регулярно заниматься спортом, чтобы укрепить здоровье и иммунитет."
3079,укреплять знания,0,-,nat_corpus,,
3080,укреплять стену,0,-,nat_corpus,,
3081,улавливать запах,0,-,nat_corpus,,
3082,улавливать звук,0,-,GPT-4o,,
3083,улавливать импульс,0,-,nat_corpus,,
3084,улавливать нюансы,1,понимать,nat_corpus,"Хороший редактор обязан [MASK] в тексте, даже тонкие, чтобы не допустить ни малейшей ошибки.","Хороший редактор обязан улавливать нюансы в тексте, даже тонкие, чтобы не допустить ни малейшей ошибки."
3085,улавливать подтекст,1,понимать,nat_corpus,"Он опытный дипломат и тонко умеет [MASK] сказанного, даже если сказано совсем немного.","Он опытный дипломат и тонко умеет улавливать подтекст  сказанного, даже если сказано совсем немного."
3086,улавливать сигнал,0,-,GPT-4o,,
3087,улавливать смысл,1,понимать,dict,Не каждый слушатель способен сразу [MASK] запутаннго объяснения лектора.,Не каждый слушатель способен сразу уловить смысл запутаннго объяснения лектора.
3088,улавливать суть,1,понимать,nat_corpus,"Чтобы понять намерения автора, важно научиться [MASK] между строк.","Чтобы понять намерения автора, важно научиться улавливать суть между строк."
3089,улаживать вопрос,1,решать,dict,"Мы наняли медиатора, чтобы помочь сторонам [MASK] без суда и конфликтов.","Мы наняли медиатора, чтобы помочь сторонам уладить вопрос без суда и конфликтов."
3090,улаживать дело,1,решать,dict,Только после длительных переговоров удалось [MASK] и снять напряжение.,Только после длительных переговоров удалось уладить дело и снять напряжение.
3091,улаживать конфликты,1,помириться,nat_corpus,"Руководитель взял инициативу на себя, чтобы лично [MASK] в команде и разрешить все недопонимания.","Руководитель взял инициативу на себя, чтобы лично уладить конфликты в команде и разрешить все недопонимания."
3092,улаживать миром,0,-,nat_corpus,,
3093,улаживать недоразумение,0,-,nat_corpus,,
3094,улаживать отношения,0,-,nat_corpus,,
3095,улаживать спор,0,-,nat_corpus,,
3096,улаживать ссору,1,помириться,nat_corpus,После бурного конфликта им всё же удалось [MASK] и восстановить отношения.,После бурного конфликта им всё же удалось уладить ссору и восстановить отношения.
3097,уличать в невежестве,0,-,nat_corpus,,
3098,уличать в преступлении,1,обвинить,nat_corpus,Следствию удалось [MASK] гражданина с помощью показаний свидетелей и улик.,Следствию удалось уличить в преступлении гражданина с помощью показаний свидетелей и улик.
3099,уличать во лжи,1,разоблачить,dict,"Противник пытался отрицать обвинения, но документы позволили [MASK] и вскрыть все его настоящие намерения.","Противник пытался отрицать обвинения, но документы позволили уличить во его лжи и вскрыть все его настоящие намерения."
3100,уличать преступника,0,-,nat_corpus,,
3101,уложиться в голову,0,-,nat_corpus,,
3102,уложиться в график,1,успеть,nat_corpus,"Чтобы избежать штрафа, подрядчику пришлось работать ночами, чтобы [MASK] и сдать проект по расписанию.","Чтобы избежать штрафа, подрядчику пришлось работать ночами, чтобы уложиться в график и сдать проект по расписанию."
3103,уложиться в памяти,0,-,nat_corpus,,
3104,уложиться в рамки,1,успеть,nat_corpus,"Даже со всеми ограничениями проект должен [MASK] по времени и затраченным ресурсам, иначе его не примут.","Даже со всеми ограничениями проект должен уложиться в рамки по времени и затраченным ресурсам, иначе его не примут."
3105,уложиться в регламент,1,успеть,nat_corpus,"Доклад был очень насыщенным, но выступающему удалось [MASK] и закончить вовремя.","Доклад был очень насыщенным, но выступающему удалось уложиться в регламент и закончить вовремя."
3106,уложиться в смету,0,-,nat_corpus,,
3107,уложиться в срок,1,успеть,dict,"Несмотря на все трудности, команда смогла [MASK] и завершить проект вовремя.","Несмотря на все трудности, команда смогла уложиться в срок и завершить проект вовремя."
3108,уложиться в сумму,0,-,nat_corpus,,
3109,упасть в обморок,0,-,nat_corpus,,
3110,упасть духом,1,расстроиться,dict,После неудачи он совсем [MASK] и перестал бороться за результат.,После неудачи он совсем пал духом и перестал бороться за результат.
3111,упускать возможность,1,терять,dict,"Из-за своей нерешительности он снова рискует [MASK], которая уже вряд ли повторится.","Из-за своей нерешительности он снова рискует упустить возможность, которая уже вряд ли повторится."
3112,упускать время,1,пропускать,dict,"Пока он колебался, обсуждение завершилось — он просто [MASK], когда он мог вставаить свой аргумент.","Пока он колебался, обсуждение завершилось — он просто упустил время, когда он мог вставаить свой аргумент."
3113,упускать из виду,1,проглядеть,dict,В череде повседневных дел мы склонны [MASK] действительно важное и совершенно забывать об этом.,В череде повседневных дел мы склонны упускать из виду действительно важное и совершенно забывать об этом.
3114,упускать из поля зрения,1,проглядеть,dict,В пылу новых задач и встреч ему не раз случалось [MASK] действительно важные вопросы.,В пылу новых задач и встреч ему не раз случалось упускать из поля зрения действительно важные вопросы.
3115,упускать инициативу,0,-,nat_corpus,,
3116,упускать контроль,0,-,nat_corpus,,
3117,упускать подробности,0,-,nat_corpus,,
3118,упускать покупателя,0,-,nat_corpus,,
3119,уравнивать давление,0,-,nat_corpus,,
3120,уравнивать игру,1,сравняться,dict,"Команда, уступающая по очкам, сумела [MASK] и довести матч до ничьей.","Команда, уступающая по очкам, сумела уравнять игру и довести матч до ничьей."
3121,успокаивать боль,1,обезболить,dict,"Чтобы снять сильный спазм, врач применил мазь, которая должна была [MASK] и дать облегчение больному.","Чтобы снять сильный спазм, врач применил мазь, которая должна была успокоить боль и дать облегчение больному."
3122,успокаивать дыхание,0,-,nat_corpus,,
3123,успокаивать маму,0,-,nat_corpus,,
3124,успокаивать нервы,1,успокоить,dict,"После неприятного разговора он выпил валерьянки, чтобы [MASK] и ни на ком не сорваться.","После неприятного разговора он выпил валерьянки, чтобы успокоить нервы и ни на ком не сорваться."
3125,устанавливать диагноз,1,диагностировать,dict,После обследования врачу удалось точно [MASK] и назначить курс лечения.,После обследования врачу удалось точно установить диагноз и назначить курс лечения.
3126,устанавливать замок,0,-,nat_corpus,,
3127,устанавливать мир,1,мириться,dict,После многолетнего конфликта дипломатам удалось [MASK] и наладить диалог между сторонами.,После многолетнего конфликта дипломатам удалось установить мир и наладить диалог между сторонами.
3128,устанавливать порядок,1,упорядочить,dict,"Новый директор первым делом решил [MASK], чтобы сотрудники работали по единым правилам.","Новый директор первым делом решил установить порядок, чтобы сотрудники работали по единым правилам."
3129,устанавливать приложение,0,-,nat_corpus,,
3130,устанавливать рекорд,1,побивать,dict,"Молодой спортсмен сумел [MASK], превзойдя по результатам предыдущего рекордсмена мира.","Молодой спортсмен сумел установить рекорд, превзойдя по результатам предыдущего рекордсмена мира."
3131,устанавливать сигнализацию,0,-,nat_corpus,,
3132,устанавливать флаг,0,-,nat_corpus,,
3133,устоять в испытании,0,-,nat_corpus,,
3134,устоять перед напором,1,выстоять,nat_corpus,"Ему было трудно [MASK] оппонентов, но он не сдался.","Ему было трудно устоять перед оппонентов, но он не сдался."
3135,устоять перед соблазном,1,выдержать,dict,"Несмотря на искушение, он всё-таки сумел [MASK] потратить последние деньги на новую машину.","Несмотря на искушение, он всё-таки сумел устоять перед соблазном потратить последние деньги на новую машину."
3136,устоять под давлением,0,-,nat_corpus,,
3137,устраивать демонстрацию,0,-,nat_corpus,,
3138,устраивать забастовку,1,бастовать,dict,"Рабочие решили [MASK], требуя повышения зарплаты и улучшения условий труда.","Рабочие решили устроить забастовку, требуя повышения зарплаты и улучшения условий труда."
3139,устраивать концерт,0,-,nat_corpus,,
3140,устраивать пир,1,пировать,nat_corpus,"Хозяева решили [MASK], пригласив всех друзей и устроив угощение на весь вечер.","Хозяева решили устроить пир, пригласив всех друзей и устроив угощение на весь вечер."
3141,устраивать побег,1,сбегать,nat_corpus,Герои фильма спланировали дерзкий шаг — [MASK] из тюрьмы при помощи охранника.,Герои фильма спланировали дерзкий шаг — устроить побег из тюрьмы при помощи охранника.
3142,устраивать привал,1,останавливаться,dict,После нескольких часов пути мы договорились [MASK] и немного передохнуть.,После нескольких часов пути мы договорились устроить привал и немного передохнуть.
3143,устраивать прием,0,-,nat_corpus,,
3144,устраивать экскурсию,0,-,nat_corpus,,
3145,устранять недоразумение,1,разъясняться,dict,"Чтобы избежать конфликта, коллегам пришлось [MASK] и обсудить ситуацию спокойно.","Чтобы избежать конфликта, коллегам пришлось устранить недоразумение и обсудить ситуацию спокойно."
3146,устранять недостатки,1,улучшать,dict,"В докладе комиссия указала, какие шаги необходимо предпринять, чтобы [MASK] в системе.","В докладе комиссия указала, какие шаги необходимо предпринять, чтобы устранить недостатки в системе."
3147,устранять недочёты,1,улучшать,dict,"Перед сдачей работы студент потратил вечер, чтобы [MASK], на которые ему указывал руководитель, и избежать замечаний.","Перед сдачей работы студент потратил вечер, чтобы устранить недочёты, на которые ему указывал руководитель, и избежать замечаний."
3148,устранять неполадки,1,улучшить,dict,"Механик приехал на вызов, чтобы как можно быстрее [MASK] в работе двигателя.","Механик приехал на вызов, чтобы как можно быстрее устранить неполадки в работе двигателя."
3149,устранять последствия,0,-,nat_corpus,,
3150,устранять потребность,0,-,nat_corpus,,
3151,устранять проблему,0,-,nat_corpus,,
3152,устранять противника,0,-,nat_corpus,,
3153,устремлять взгляд,1,смотреть,dict,"Услышав крик, она резко [MASK] в сторону двери, откуда доносился шум.","Услышав крик, она резко устремила взгляд в сторону двери, откуда доносился шум."
3154,устремлять взор,1,смотреть,dict,"Подняв голову, мальчик [MASK] к небу, любуясь звёздами.","Подняв голову, мальчик устремил взор к небу, любуясь звёздами."
3155,устремлять внимание,1,следить,dict,"Он [MASK] на нового человека в компании, не переставая следить за ним весь вечер, чтобы понять, кто он такой.","Он устремил внимание на нового человека в компании, не переставая следить за ним весь вечер, чтобы понять, кто он такой."
3156,устремлять глаза,1,смотреть,dict,"Зрители затаили дыхание и [MASK] на сцену, ожидая появления главного героя.","Зрители затаили дыхание и устремили глаза на сцену, ожидая появления главного героя."
3157,устремлять дух,0,-,nat_corpus,,
3158,устремлять сердца,0,-,nat_corpus,,
3159,устремлять усилия,0,-,nat_corpus,,
3160,устремлять энергию,0,-,nat_corpus,,
3161,уступать дорогу,1,уступать,dict,"При виде машины скорой помощи водитель без колебаний [MASK], понимая срочность ситуации.","При виде машины скорой помощи водитель без колебаний уступил дорогу, понимая срочность ситуации."
3162,уступать конкурентам,0,-,nat_corpus,,
3163,уступать место,1,уступить,dict,"В общественном транспорте молодёжь должна [MASK] пожилым людям, проявляя уважение.","В общественном транспорте молодёжь должна уступать место пожилым людям, проявляя уважение."
3164,уступать первенство,1,уступать,dict,"Спортсмен, получивший травму, был вынужден [MASK] в общем зачёте.","Спортсмен, получивший травму, был вынужден уступить первенство в общем зачёте."
3165,уступать по качеству,0,-,nat_corpus,,
3166,уступать по масштабам,0,-,nat_corpus,,
3167,уступать позиции,1,уступать,nat_corpus,Под давлением новых игроков на рынке компания постепенно начала [MASK] и скатилась в рейтинге по продажам.,Под давлением новых игроков на рынке компания постепенно начала уступать позиции и скатилась в рейтинге по продажам.
3168,уступать предшественнику,0,-,nat_corpus,,
3169,утолять голод,1,есть,dict,"После долгого похода они наконец нашли место, где смогли [MASK], съев свои припасы.","После долгого похода они наконец нашли место, где смогли утолить голод, съев свои припасы."
3170,утолять жажду,1,пить,dict,"На привале путники остановились у ручья, чтобы [MASK] и пополнить запасы воды.","На привале путники остановились у ручья, чтобы утолить жажду и пополнить запасы воды."
3171,утолять желудок,0,-,nat_corpus,,
3172,утолять любовь,0,-,nat_corpus,,
3173,утолять печаль,0,-,nat_corpus,,
3174,утолять тоску,1,повеселиться,nat_corpus,"В моменты одиночества она читала письма детства, чтобы хоть немного [MASK] и развеять грусть.","В моменты одиночества она читала письма детства, чтобы хоть немного утолить тоску и развеять грусть."
3175,утопать блаженстве,1,блаженствовать,nat_corpus,"Счастливая пара, лежащая на лужайке, казалась полностью [MASK] и безмятежности.","Счастливая пара, лежащая на лужайке, казалась полностью утопала в блаженстве и безмятежности."
3176,утопать в воде,0,-,nat_corpus,,
3177,утопать в грязи,0,-,nat_corpus,,
3178,утопать в неге,1,блаженствовать,nat_corpus,"Вечерами он лежал на веранде, [MASK] теплого дня и мечтал о юге.","Вечерами он лежал на веранде, утопая в неге теплого дня и мечтал о юге."
3179,утопать в роскоши,1,роскошествовать,dict,"Новый дом бизнесмена был настолько роскошным, что казалось, он буквально [MASK] и богатстве.","Новый дом бизнесмена был настолько роскошным, что казалось, он буквально утопал в роскоши и богатстве."
3180,утопать во мгле,0,-,nat_corpus,,
3181,утрачивать актуальность,1,обессмысливаться,dict,"Некоторые технологии, ещё недавно считавшиеся прорывными, быстро [MASK] и были списаны на второй счет.","Некоторые технологии, ещё недавно считавшиеся прорывными, быстро утратили актуальность и были списаны на второй счет."
3182,утрачивать веру,1,разуверится,dict,После череды неудач он начал [MASK] в лучшее будущее.,После череды неудач он начал утрачивать веру в лучшее будущее.
3183,утрачивать звание,0,-,nat_corpus,,
3184,утрачивать значение,1,обессмысливаться,dict,Со временем ритуалы потеряли символику и [MASK] для большинства участников.,Со временем ритуалы потеряли символику и утратили значение для большинства участников.
3185,утрачивать контроль,0,-,nat_corpus,,
3186,утрачивать навыки,1,разучиваться,dict,"Без практики даже опытный специалист может [MASK], наработанные в течение многих лет, и нуждаться в переобучении.","Без практики даже опытный специалист может утратить навыки, наработанные в течение многих лет, и нуждаться в переобучении."
3187,утрачивать телесность,0,-,nat_corpus,,
3188,утрачивать флер,0,-,nat_corpus,,
3189,уходить в отставку,1,увольняться,dict,После долгих лет службы генерал решил [MASK] и посвятить себя семье.,После долгих лет службы генерал решил уйти в отставку и посвятить себя семье.
3190,уходить в подполье,1,скрываться,dict,"Когда начались аресты, группа оппозиционеров была вынуждена [MASK] и действовать исключительно оттуда.","Когда начались аресты, группа оппозиционеров была вынуждена уйти в подполье и действовать исключительно оттуда."
3191,уходить в сторону,1,отходить,dict,"Чтобы не провоцировать конфликт, он решил [MASK] и промолчать.","Чтобы не провоцировать конфликт, он решил уйти в сторону и промолчать."
3192,уходить из дома,0,-,nat_corpus,,
3193,уходить из поля зрения,1,скрыться,dict,"С наступлением сумерек цель начала [MASK], и наблюдение за ней стало невозможным.","С наступлением сумерек цель начала уходить из поля зрения, и наблюдение за ней стало невозможным."
3194,уходить к врачу,0,-,nat_corpus,,
3195,уходить по делам,0,-,nat_corpus,,
3196,уходить с работы,0,-,nat_corpus,,
3197,учинять дела,0,-,nat_corpus,,
3198,учинять допрос,1,допрашивать,nat_corpus,"Прибыв в участок, следователь немедленно [MASK], не дав задержанному опомниться.","Прибыв в участок, следователь немедленно учинил допрос, не дав задержанному опомниться."
3199,учинять скандал,1,скандалить,dict,"После обидного замечания актёр [MASK], привлекая внимание всей публики.","После обидного замечания актёр учинил скандал, привлекая внимание всей публики."
3200,учинять тоталитаризм,0,-,nat_corpus,,
3201,учитывать замечание,1,исправить,dict,"В своём проекте мы старались [MASK], высказанные на предыдущем этапе обсуждения.","В своём проекте мы старались учитывать замечания, высказанные на предыдущем этапе обсуждения."
3202,учитывать мнение,1,считаться,dict,"Прежде чем принимать решение, важно [MASK] всех участников встречи.","Прежде чем принимать решение, важно учитывать мнение всех участников встречи."
3203,учитывать обстоятельство,0,-,nat_corpus,,
3204,учитывать фактор,0,-,nat_corpus,,
3205,ущемлять достоинство,1,оскорблять,dict,Подобное поведение со стороны начальства могло [MASK] подчинённых и сильно оскорбить их.,Подобное поведение со стороны начальства могло ущемить достоинство подчинённых и сильно оскорбить их.
3206,ущемлять интересы,0,-,nat_corpus,,
3207,ущемлять палец,0,-,nat_corpus,,
3208,ущемлять права,1,умалять,dict,"Новый закон вызвал протесты, так как, по мнению правозащитников, он [MASK] граждан.","Новый закон вызвал протесты, так как, по мнению правозащитников, он ущемляет права граждан."
3209,ущемлять самолюбие,1,задевать,nat_corpus,"Его язвительные замечания начали всерьёз [MASK] и достоинство собеседника, нанося ему оскорбления.","Его язвительные замечания начали всерьёз ущемлять самолюбие и достоинство собеседника, нанося ему оскорбления."
3210,фиксировать внимание,1,сосредотачиваться,dict,"Учитель, рассказывая о важной теме, старался [MASK] учеников на ключевых моментах.","Учитель, рассказывая о важной теме, старался фиксировать внимание учеников на ключевых моментах."
3211,фиксировать убыток,0,-,nat_corpus,,
3212,форсировать индустриализацию,0,-,nat_corpus,,
3213,форсировать события,1,ускорять,dict,"Он не хотел ждать, что будет дальше, и решил [MASK], добиваясь немедленного результата.","Он не хотел ждать, что будет дальше, и решил форсировать события, добиваясь немедленного результата."
3214,хранить в памяти,1,помнить,dict,Этот день остался с нами навсегда — мы будем [MASK] его как нечто особенное.,Этот день остался с нами навсегда — мы будем хранить в памяти его как нечто особенное.
3215,хранить в сейфе,0,-,nat_corpus,,
3216,хранить в тайне,1,скрывать,dict,Он умел [MASK] самые сокровенные мысли и никогда не делился лишним.,Он умел хранить в тайне самые сокровенные мысли и никогда не делился лишним.
3217,хранить в ящике,0,-,nat_corpus,,
3218,хранить молчание,1,молчать,dict,После резкого вопроса она предпочла [MASK] и просто кивнула.,После резкого вопроса она предпочла хранить молчание и просто кивнула.
3219,хранить память,1,помнить,dict,"Семья погибшего старалась [MASK] о нём, создавая фотоальбом и памятные страницы.","Семья погибшего старалась хранить память о нём, создавая фотоальбом и памятные страницы."
3220,хранить реликвию,0,-,nat_corpus,,
3221,хранить сбережения,0,-,nat_corpus,,
3222,цепляться за выступы,0,-,nat_corpus,,
